,name_player,id_player,championName,championId,kda,kills,deaths,assists,goldEarned,goldSpent,visionScore,win
75,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Illaoi,420,0.4444444444444444,2,9,2,8837,9000,12,False
76,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Illaoi,420,1.5714285714285714,3,7,8,10653,10075,13,False
77,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Illaoi,420,6.0,9,2,3,14157,12000,11,True
78,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Illaoi,420,4.0,13,6,11,17175,16900,27,True
79,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Illaoi,420,1.625,10,8,3,17166,14700,26,True
80,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Illaoi,420,3.1666666666666665,11,6,8,18008,17200,19,False
81,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Jax,24,9.5,10,2,9,15934,15500,37,True
82,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,KSante,897,1.1666666666666667,1,6,6,8968,8800,11,False
83,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,KSante,897,2.5714285714285716,5,7,13,11148,10700,23,True
84,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Kayle,10,0.875,2,8,5,9833,9650,14,False
85,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,DrMundo,36,0.7142857142857143,2,7,3,7741,7300,13,False
86,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,DrMundo,36,3.3333333333333335,8,3,2,12224,10580,12,True
87,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Shen,98,11.0,5,0,6,8762,8000,13,True
88,Morono24,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Shen,98,11.0,3,0,8,10473,9650,14,True
89,Morono24,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Mordekaiser,82,3.6,7,5,11,13682,12950,24,True
90,Morono24,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Mordekaiser,82,2.0,2,0,0,5559,4400,10,True
91,Morono24,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Fiora,114,1.0,0,2,2,5339,5000,6,False
92,Morono24,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Fiora,114,3.25,6,4,7,12494,11500,18,True
93,Morono24,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Malphite,54,0.0,0,0,0,500,500,0,True
